,astronaut_id,selection_id,year_of_selection
712,341,NASA- 17,1992
713,342,1992 NASA group 14,1992
714,343,NASDA-2,1992
715,343,NASDA-2,1992
716,343,NASDA-2,1992
717,343,NASDA-2,1992
718,344,NASA- 14,1992
719,344,NASA- 14,1992
720,344,NASA- 14,1992
721,345,TsPK-10,1989
722,346,NASA- 14,1992
723,346,NASA- 15,1992
724,346,NASA- 16,1992
725,346,NASA- 17,1992
726,347,1992 ESA Group,1992
727,348,1996 NASA Group,1996
728,348,1996 NASA Group,1996
729,349,1992 NASA group,1992
730,349,1992 NASA group,1992
731,350,NASA- 14,1992
732,350,NASA- 14,1992
733,355,CNES-2/EAC,1985
734,355,CNES-2/EAC,1985
735,356,NPOE-10,1992
736,357,DLR-3/EAC,1990
737,358,NASA- 15,1995
738,359,PS for STS-43,1995
739,360,PS for STS-43,1995
740,361,NASA-15,1995
741,362,NASA- 15,1995
742,362,NASA- 16,1995
743,363,NPOE-10,1992
744,364,NASA- 15,1994
745,364,NASA- 15,1994
746,365,NASA-15,1994
747,365,NASA-15,1994
748,365,NASA-15,1994
749,365,NASA-15,1994
750,366,1983 NRC Group,1983
751,367,NASA- 15,1994
752,367,NASA- 15,1994
753,368,NASA- 16,1995
754,368,NASA- 17,1995
755,368,NASA- 18,1995
756,368,NASA- 19,1995
757,369,NASA- 16,1994
758,370,NASDA-1,1985
759,373,NASA-15,1994
760,373,NASA-15,1994
761,374,NASA- 15,1994
762,375,TsPK-11,1990
763,376,CNES-3/EAC,1990
764,376,CNES-3/EAC,1990
765,377,NASA- 15,1994
766,377,NASA- 15,1994
767,377,NASA- 15,1994
768,378,NASA- 16,1995
769,379,1992 CSA Group,1992
770,382,NASA Astronaut Group 15,1995
771,382,NASA Astronaut Group 17,1995
772,382,NASA Astronaut Group 18,1995
773,383,NASA- 15,1995
774,383,NASA- 15,1995
775,384,TsPK-10,1989
776,384,TsPK-10,1989
777,385,1992 ESA Group,1992
778,385,Politician-2,1997
779,385,1992 ESA Group,1992
780,387,1994 NASA group 15,1995
781,387,1994 NASA group 15,1995
782,387,1994 NASA group 15,1995
783,388,Slovakia,1998
784,389,NASA- 15,1995
785,389,NASA- 16,1995
786,390,1992 CSA Group,1992
787,390,1992 CSA Group,1992
788,391,GKNII-3 / TsPK-12,1989
789,391,GKNII-3 / TsPK-12,1989
790,392,NASA-15,1995
791,392,NASA-15,1995
792,392,NASA-15,1995
793,393,NASA- 16,1996
794,393,NASA- 16,1996
795,393,NASA- 16,1996
796,395,TsPK-11,1990
797,396,1996 NASA group 8,1996
798,396,1996 NASA group 8,1996
799,396,1996 NASA group 8,1996
